Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
28/04/2016 00:00,445.39,451,435,449.14,8736.26,3884773.45,444.67
29/04/2016 00:00,449.94,456.53,445.62,456.53,2982.54,1347430.83,451.77
30/04/2016 00:00,456.53,456.9,446.5,448.37,2419.58,1091522.44,451.12
01/05/2016 00:00,448.43,453.78,446.84,453,1190.7,537276.06,451.23
02/05/2016 00:00,452.99,453.8,438.59,444.06,6362.93,2824163.35,443.85
03/05/2016 00:00,444.06,452,440.78,450.61,5576.91,2496652.81,447.68
04/05/2016 00:00,451.18,451.68,444.15,446.63,3327.61,1488189.72,447.23
05/05/2016 00:00,447.36,450,445.11,448.5,2569.59,1150544.09,447.75
06/05/2016 00:00,448.5,463.97,447.03,458.48,5540.14,2518562.05,454.6
07/05/2016 00:00,458.98,461,455.95,458.07,2004.64,918778.35,458.33
08/05/2016 00:00,458.97,459.69,455.95,458.21,1353.23,619028.39,457.44
09/05/2016 00:00,457.75,464.79,455.62,460.82,3536.5,1625816.36,459.72
10/05/2016 00:00,461.49,463,447.38,451.62,5746.16,2608139.07,453.89
11/05/2016 00:00,450.88,457.99,450.32,452.91,3352.58,1520976.99,453.67
12/05/2016 00:00,452.95,455.25,448.88,455.2,3453.49,1560850.72,451.96
13/05/2016 00:00,455.2,456.82,452.04,455.91,2822.65,1283980.61,454.88
14/05/2016 00:00,456.42,457.25,453.51,455.57,1377.72,628027.39,455.85
15/05/2016 00:00,456.3,458.08,454.72,457.56,1612.71,736345.01,456.59
16/05/2016 00:00,457.56,458,451.11,454,3248.19,1479592.23,455.51
17/05/2016 00:00,454,456.09,452,453.08,3430.48,1555633.96,453.47
18/05/2016 00:00,452.96,455.68,452,452.92,2608.23,1184326.53,454.07
19/05/2016 00:00,452.47,453.85,435.03,436.3,5961.12,2667369.27,447.46
20/05/2016 00:00,436.3,444.41,435.06,442.72,3448.23,1520946.42,441.08
21/05/2016 00:00,442.84,443.98,435.28,443.31,1916.43,844578.21,440.7
22/05/2016 00:00,442.72,443.47,435,438.8,2350.68,1032621.87,439.29
23/05/2016 00:00,438.72,442.99,436.4,442.99,2625.6,1157133.45,440.71
24/05/2016 00:00,442.63,446.37,441,443.97,3072.78,1366675.34,444.77
25/05/2016 00:00,445.31,449.6,444.26,448.7,3663.32,1639628.08,447.58
26/05/2016 00:00,448.27,452.98,446.8,452.07,3768.5,1695944.87,450.03
27/05/2016 00:00,452.07,478.16,452.07,472.05,12234.2,5759605.5,470.78
